70:E8:43	Beijing C&W Optical Communication Technology Co.,Ltd.	2011-03-17	2015-09-27
00:60:C2	MPL AG	1980-01-01	2015-09-27
D8:38:0D	SHENZHEN IP-COM Network Co.,Ltd	2016-06-27	2016-06-27
E0:46:9A	NETGEAR	2011-03-17	2015-09-27
50:98:39		2020-12-02	2021-05-13
70:86:CE	GD Midea Air-Conditioning Equipment Co.,Ltd.	2021-04-13	2021-04-13
1C:62:B8	Samsung Electronics Co.,Ltd	2012-03-01	2015-09-27
A8:CC:C5	Saab AB (publ)	2013-07-12	2015-09-27
00:0B:1B	Systronix, Inc.	2002-10-14	2015-09-27
D0:A6:37	Apple, Inc.	2015-01-23	2015-09-27
DC:B5:4F	Apple, Inc.	2021-06-24	2021-06-24
00:11:5F	ITX Security Co., Ltd.	2004-06-05	2015-09-27
1C:F0:61	SCAPS GmbH	2010-01-05	2015-09-27
00:0D:D0	TetraTec Instruments GmbH	2004-02-12	2015-09-27
00:50:0D	SATORI ELECTORIC CO., LTD.	2000-11-09	2015-09-27
A4:44:D1	 Wingtech Group (HongKong）Limited	2015-12-03	2015-12-03
A0:6F:AA	LG Innotek	2016-09-03	2016-09-03
8C:F9:57	RuiXingHengFang Network (Shenzhen) Co.,Ltd	2017-10-31	2017-10-31
F8:F0:05	Newport Media Inc.	2013-12-13	2015-09-27
28:9A:FA	TCT mobile ltd	2013-12-13	2016-03-01
00:C0:9A	PHOTONICS CORPORATION	2000-11-09	2015-09-27
00:12:A6	Dolby Australia	2004-10-21	2015-09-27
00:30:82		2000-11-09	2015-09-27
7C:6A:B3	IBC TECHNOLOGIES INC.	2013-09-12	2015-09-27
30:74:67		2021-07-10	2021-07-10
54:79:75		2013-01-09	2015-09-27
D0:F3:F5	Huawei Device Co., Ltd.	2020-03-17	2020-03-17
8C:E4:68	Guangzhou Sageran Technology Co., Ltd.	2020-04-15	2020-04-15
38:F3:3F	TATSUNO CORPORATION	2014-05-27	2015-09-27
5C:2A:EF	  r2p Asia-Pacific Pty Ltd	2013-11-12	2021-06-19
74:37:2F	Tongfang Shenzhen Cloudcomputing Technology Co.,Ltd	2013-01-09	2015-09-27
2C:60:0C	Quanta Computer Inc.	2014-08-20	2015-09-27
6C:A4:D1	Fiberhome Telecommunication Technologies Co.,LTD	2020-05-21	2020-05-21
94:14:57	Shenzhen Sundray Technologies Company Limited	2021-07-30	2021-07-30
50:76:AF	Intel Corporate	2018-07-12	2018-07-12
80:4E:81	Samsung Electronics Co.,Ltd	2015-03-07	2015-09-27
E0:46:EE	NETGEAR	2022-01-12	2022-01-12
DC:4A:3E	Hewlett Packard	2015-09-27	2015-10-12
90:17:11	Hagenuk Marinekommunikation GmbH	2016-09-22	2016-09-22
7C:78:B2	Wyze Labs Inc	2020-08-05	2020-08-05
A8:47:4A	Hon Hai Precision Ind. Co.,Ltd.	2015-08-11	2015-10-12
00:03:91		2001-10-24	2015-09-27
2C:42:05	Lytx	2017-09-06	2017-09-06
00:25:23	OCP Inc.	2009-02-15	2015-09-27
00:01:BC	Brains Corporation	2000-11-09	2015-09-27
7C:A6:1D	MHL, LLC	2011-08-07	2015-09-27
F0:5D:C8	Duracell Powermat	2013-01-09	2015-09-27
00:0A:66	MITSUBISHI ELECTRIC SYSTEM & SERVICE CO.,LTD.	2002-10-14	2015-09-27
F0:6D:78	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD	2017-07-26	2017-07-26
18:20:4C	Kummler+Matter AG	2017-03-26	2017-03-26
00:C0:51	ADVANCED INTEGRATION RESEARCH	1980-01-01	2015-09-27
00:0E:F3	Smartlabs, Inc. 	2004-02-12	2019-12-04
E8:36:1D	Sense Labs, Inc.	2017-07-14	2017-07-14
1C:37:BF	Cloudium Systems Ltd.	2013-01-09	2015-09-27
4C:CC:6A	Micro-Star INTL CO., LTD.	2015-12-03	2015-12-03
00:14:99		2005-05-12	2015-09-27
98:F4:28	zte corporation	2015-08-11	2015-09-27
D4:7A:E2	Samsung Electronics Co.,Ltd	2016-10-30	2017-02-21
00:90:8B	Tattile SRL	1998-04-22	2015-09-27
84:96:81		2014-07-13	2015-09-27
08:E9:F6	AMPAK Technology,Inc.	2020-04-03	2020-04-03
E4:77:6B	AARTESYS AG	2013-05-02	2015-09-27
FC:B4:E6	ASKEY COMPUTER CORP	2014-09-21	2015-09-27
00:15:47	AiZen Solutions Inc.	2005-07-27	2015-09-27
2C:47:59	Beijing MEGA preponderance Science & Technology Co. Ltd	2018-03-05	2018-03-05
00:16:12	Red-Lemon	2005-10-13	2020-06-25
10:C2:BA	UTT Co., Ltd.	2011-10-07	2015-09-27
E0:DC:FF	Xiaomi Communications Co Ltd	2018-12-26	2018-12-26
80:3C:20	HUAWEI TECHNOLOGIES CO.,LTD	2022-03-03	2022-03-03
08:ED:9D	TECNO MOBILE LIMITED	2020-04-29	2020-04-29
00:40:AF	DIGITAL PRODUCTS, INC.	1980-01-01	2015-09-27
98:A4:04	Ericsson AB	2018-02-18	2018-02-18
60:D0:2C	Ruckus Wireless	2018-02-18	2018-02-18
90:AD:FC	Telechips, Inc.	2019-12-31	2019-12-31
00:25:D8	KOREA MAINTENANCE	2010-01-05	2015-09-27
00:50:14	Cisco Systems, Inc	2000-11-09	2015-09-27
00:02:DF	Net Com Systems, Inc.	2000-11-09	2015-09-27
F4:87:C5	Huawei Device Co., Ltd.	2020-02-25	2020-02-25
