00:C0:92	1980-01-01	2015-09-27
00:02:6B	2000-11-09	2015-09-27
00:80:C5	2000-11-09	2015-09-27
00:D0:2D	2000-11-09	2018-07-27
00:09:08	2002-06-05	2015-09-27
00:26:E0	2010-01-05	2015-09-27
D8:E7:2B	2010-02-21	2021-01-29
F4:06:69	2014-05-27	2015-09-27
28:2D:06	2021-08-31	2021-08-31
50:46:AE	2021-12-15	2021-12-15
00:C0:B3	1980-01-01	2015-09-27
00:21:59	2008-10-25	2016-02-10
CC:FE:3C	2012-04-08	2016-05-31
E4:F3:65	2013-01-09	2015-09-27
C4:F5:A5	2016-05-14	2016-05-14
2C:37:C5	2017-09-15	2017-09-15
00:21:DA	2008-10-25	2015-09-27
00:24:2A	2008-11-09	2015-09-27
F0:EB:D0	2013-09-22	2015-09-27
5C:87:30	2020-09-25	2020-09-25
B8:4D:43	2021-06-04	2021-06-04
40:06:D5	2021-07-23	2021-07-23
B8:5D:C3	2022-01-04	2022-01-04
DC:54:75	2022-02-02	2022-02-02
00:0A:A2	2002-10-14	2015-09-27
1C:14:48	2011-03-17	2016-05-19
94:CC:04	2019-12-24	2019-12-24
0C:CB:0C	2021-02-20	2021-02-20
00:02:AE	2000-11-09	2015-09-27
00:02:BE	2000-11-09	2015-09-27
00:1B:55	2007-02-09	2015-09-27
BC:67:84	2010-11-24	2015-09-27
9C:32:A9	2017-02-21	2017-02-21
E0:98:06	2019-09-10	2019-09-10
EC:F2:2B	2020-07-10	2020-07-10
00:D0:84	2000-11-09	2015-09-27
CC:F6:7A	2011-03-17	2015-09-27
2C:41:38	2011-05-14	2015-10-12
FC:C2:DE	2014-02-25	2015-09-27
1C:74:0D	2016-01-25	2016-01-25
50:9A:4C	2017-02-21	2017-02-21
CC:D3:9D	2018-10-08	2018-10-08
1C:91:9D	2019-11-20	2019-11-20
00:E0:EA	1980-01-01	2015-09-27
00:05:DE	2001-06-04	2015-09-27
00:1E:F5	2007-12-31	2015-09-27
30:57:14	2019-04-29	2019-04-29
D0:F3:F5	2020-03-17	2020-03-17
CC:DB:04	2020-12-12	2020-12-12
00:80:15	1980-01-01	2015-09-27
00:0D:A4	2003-06-30	2015-09-27
70:D5:E7	2010-02-21	2015-09-27
00:71:C2	2015-01-23	2016-01-25
F8:0D:60	2015-04-04	2015-09-27
80:A0:36	2017-02-21	2017-02-21
00:50:74	2000-11-09	2015-09-27
00:0E:7F	2004-02-12	2015-10-12
08:68:8D	2019-04-24	2019-04-24
78:5F:36	2021-04-30	2021-04-30
00:01:80	2000-11-09	2015-09-27
00:0D:FD	2004-02-12	2015-09-27
DC:E5:78	2013-12-13	2015-09-27
00:C0:25	1980-01-01	2015-09-27
00:0E:7E	2004-02-12	2015-09-27
00:11:34	2004-06-05	2015-09-27
18:28:61	2011-03-17	2016-05-31
64:D4:BD	2013-06-20	2020-10-10
2C:01:0B	2014-05-27	2015-09-27
68:A6:82	2017-07-14	2017-07-14
5C:78:F8	2019-10-30	2019-10-30
78:62:99	2021-10-04	2021-10-04
7C:EF:18	2010-05-26	2015-09-27
00:C0:82	1980-01-01	2015-09-27
00:09:14	2002-06-05	2015-09-27
C8:A9:FC	2015-05-31	2015-09-27
00:10:4A	1997-11-14	2015-09-27
00:0E:D5	2004-02-12	2015-09-27
00:19:AB	2006-09-25	2015-09-27
80:13:82	2016-02-10	2016-02-10
78:86:B6	2021-03-09	2021-03-09
00:26:B9	2010-01-05	2019-07-01
70:93:83	2014-01-12	2015-09-27
B8:27:C5	2019-10-30	2019-10-30
68:82:F2	2019-02-08	2019-02-08
00:20:BD	1980-01-01	2015-09-27
00:09:9D	2002-06-05	2015-09-27
00:0E:78	2004-02-12	2015-09-27
00:22:7E	2008-10-25	2015-09-27
54:89:98	2010-11-24	2015-09-27
00:1B:5C	2007-02-09	2015-09-27
00:23:C1	2008-10-25	2015-09-27
2C:31:24	2017-02-21	2017-02-21
00:30:63	2000-11-09	2015-09-27
00:11:DF	2004-07-24	2015-09-27
00:25:14	2009-02-02	2015-09-27
F8:0B:CB	2017-02-21	2017-02-21
08:42:96	2020-07-06	2020-07-06
C0:3F:DD	2020-09-04	2020-09-04
38:1E:C7	2021-11-12	2021-11-12
00:0A:AB	2002-10-14	2016-03-02
D4:0B:1A	2014-09-21	2015-09-27
00:14:D2	2005-06-07	2015-09-27
34:1E:6B	2016-09-03	2016-09-03
C0:DC:DA	2019-07-26	2019-07-26
00:11:E5	2004-07-24	2021-10-21
00:1E:67	2007-10-09	2015-09-27
00:21:82	2008-10-25	2015-09-27
48:44:87	2010-01-05	2015-09-27
B0:45:15	2014-07-13	2015-09-27
90:12:34	2019-05-23	2019-05-23
40:FE:95	2021-10-28	2021-10-28
00:14:7A	2005-05-07	2015-09-27
00:16:58	2005-11-04	2015-09-27
D4:C7:66	2010-01-05	2015-09-27
AC:9A:22	2015-09-27	2015-09-27
54:6F:71	2021-06-12	2021-06-12
00:1B:C2	2007-04-09	2015-09-27
30:59:5B	2014-04-22	2015-09-27
78:96:82	2015-12-22	2015-12-22
00:20:EB	1980-01-01	2015-09-27
7C:D9:A0	2020-01-10	2020-01-10
9C:47:F9	2021-10-05	2021-10-05
00:17:E1	2006-04-08	2015-09-27
00:1C:81	2007-05-13	2015-09-27
00:22:8C	2008-10-25	2015-09-27
78:A0:51	2010-11-24	2015-09-27
B8:DF:6B	2013-09-12	2015-09-27
2C:D0:66	2020-03-21	2020-03-21
6C:04:7A	2021-11-24	2021-11-24
00:14:5D	2005-04-14	2015-09-27
78:25:44	2012-04-08	2015-09-27
FC:45:96	2015-09-27	2015-09-27
00:23:44	2008-10-25	2015-09-27
F0:DB:30	2011-05-07	2015-09-27
D8:B1:22	2017-09-10	2017-09-10
00:30:97	2000-11-09	2015-09-27
00:50:DD	2000-11-09	2015-09-27
00:0A:CD	2002-10-14	2015-09-27
5C:35:DA	2010-02-21	2015-09-27
4C:B8:2C	2015-05-03	2015-09-27
9C:50:EE	2016-09-22	2016-09-22
00:0C:3C	2003-02-07	2015-09-27
00:1A:59	2006-11-29	2015-09-27
7C:E0:44	2010-04-11	2015-09-27
48:A9:D2	2015-01-23	2016-04-06
A4:B8:05	2015-07-31	2015-09-27
AA:54:8B	2017-01-30	2017-01-30
58:63:9A	2013-07-12	2015-09-27
B8:9A:CD	2015-01-23	2015-09-27
74:A7:8E	2015-09-27	2015-09-27
00:01:FF	2000-11-09	2015-09-27
00:0E:4B	2004-02-12	2015-09-27
00:19:EA	2006-11-29	2015-09-27
CC:BD:D3	2014-08-28	2015-09-27
00:1C:78	2007-05-13	2015-09-27
10:5F:49	2012-06-14	2015-09-27
3C:DD:89	2015-10-12	2015-10-12
C0:A1:A2	2016-04-01	2016-04-01
00:07:C9	2001-10-24	2015-09-27
00:12:BC	2004-11-16	2015-09-27
00:1F:57	2007-12-31	2015-09-27
F4:03:2F	2014-09-30	2015-09-27
D0:25:98	2015-03-07	2015-09-27
AC:6B:0F	2016-11-16	2016-11-16
48:3E:5E	2021-09-04	2021-09-04
C8:B8:2F	2022-01-08	2022-01-08
28:44:30	2013-09-12	2015-09-27
B0:33:A6	2018-07-26	2018-07-26
88:FC:A6	2021-03-30	2021-03-30
04:0D:84	2021-09-29	2021-09-29
FC:B0:C4	2013-09-12	2015-09-27
4C:91:7A	2019-07-01	2019-07-01
00:60:0A	1980-01-01	2015-09-27
88:C3:6E	2011-10-14	2015-09-27
58:20:B1	2015-05-23	2015-10-12
00:E0:5D	1997-11-14	2015-09-27
90:7A:F1	2013-03-10	2015-10-25
00:26:A3	2010-01-05	2015-09-27
FC:9A:FA	2015-02-19	2015-09-27
78:B2:8D	2017-03-26	2017-03-26
EC:C5:7F	2018-10-01	2018-10-01
FC:8E:5B	2019-10-02	2019-10-02
00:A0:CD	1980-01-01	2015-09-27
00:30:EF	2000-11-09	2015-09-27
00:22:4C	2008-10-25	2015-11-15
00:03:A0	2000-11-09	2015-09-27
C0:92:96	2021-02-03	2021-02-03
F4:F3:09	2021-09-11	2021-09-11
5C:0C:BB	2011-03-17	2015-09-27
00:C0:95	1980-01-01	2016-04-11
60:12:83	2010-02-21	2017-05-23
78:6C:1C	2013-01-09	2017-10-11
90:79:90	2013-07-29	2015-09-27
20:57:AF	2016-04-27	2016-04-27
28:24:FF	2016-04-27	2016-04-27
